,accident_id,city,state,latitude,longitude,date,time,hour,day_of_week,is_weekend,road_type,lanes,traffic_signal,weather,visibility,temperature,traffic_density,cause,accident_severity,vehicles_involved,casualties,is_peak_hour,day_time,year
0,0,Pune,Maharashtra,18.680827,73.930388,2023-10-22,5:00,5,Sunday,True,highway,3,1,fog,low,32,high,weather,fatal,2,2,False,Moring,2023
1,1,Mumbai,Maharashtra,18.817732,72.790846,2023-05-21,4:00,4,Sunday,True,urban,4,0,clear,high,34,low,weather,major,4,3,False,Moring,2023
2,2,Mumbai,Maharashtra,19.096889,72.819424,2024-07-10,13:00,13,Wednesday,False,urban,3,0,fog,low,21,medium,weather,minor,1,1,False,Afternoon,2024
3,3,Chandigarh,Punjab,30.787805,76.847507,2025-03-30,11:00,11,Sunday,True,urban,1,1,fog,low,30,high,distraction,minor,5,2,False,Moring,2025
4,4,Chennai,Tamil Nadu,12.965155,80.283313,2024-01-25,16:00,16,Thursday,False,highway,3,1,clear,high,24,low,distraction,minor,2,1,False,Evening,2024
5,5,Delhi,Delhi,28.79949,77.049666,2024-07-29,8:00,8,Monday,False,urban,5,1,clear,high,36,high,overspeeding,fatal,4,4,True,Moring,2024
6,6,Bangalore,Karnataka,13.064327,77.530941,2025-03-24,6:00,6,Monday,False,highway,3,0,clear,high,33,high,drunk driving,minor,4,4,False,Moring,2025
7,7,Chandigarh,Punjab,30.786617,76.733947,2023-05-07,14:00,14,Sunday,True,urban,3,1,clear,high,25,low,weather,major,3,0,False,Afternoon,2023
8,8,Hyderabad,Telangana,17.422447,78.464881,2022-02-25,3:00,3,Friday,False,urban,1,0,rain,low,22,low,poor road,minor,1,0,False,Moring,2022
9,9,Bangalore,Karnataka,12.939033,77.498966,2024-03-31,4:00,4,Sunday,True,rural,3,1,clear,high,23,low,weather,minor,1,0,False,Moring,2024
10,10,Chandigarh,Punjab,30.651926,76.876892,2022-03-23,13:00,13,Wednesday,False,highway,1,1,fog,low,34,medium,poor road,minor,3,3,False,Afternoon,2022
11,11,Bangalore,Karnataka,12.936802,77.469957,2022-01-27,2:00,2,Thursday,False,urban,5,1,rain,medium,33,low,drunk driving,minor,2,0,False,Moring,2022
12,12,Mumbai,Maharashtra,19.132036,72.76057,2023-11-28,9:00,9,Tuesday,False,highway,5,1,rain,low,17,medium,weather,major,4,1,True,Moring,2023
