temperature,hour,is_peak_hour,is_weekend,traffic_signal,lanes,festival,risk_score,weather_fog,weather_rain,visibility_low,visibility_medium,traffic_density_low,traffic_density_medium,road_type_rural,road_type_urban
32,5,0,1,1,3,0,0.85,1,0,1,0,0,0,0,0
34,4,0,1,0,4,0,0.1,0,0,0,0,1,0,0,1
21,13,0,0,0,3,0,0.45,1,0,1,0,0,1,0,1
30,11,0,1,1,1,0,0.65,1,0,1,0,0,0,0,1
24,16,0,0,1,3,0,0.1,0,0,0,0,1,0,0,0
36,8,1,0,1,5,0,0.65,0,0,0,0,0,0,0,1
33,6,0,0,0,3,0,0.3,0,0,0,0,0,0,0,0
25,14,0,1,1,3,0,0.1,0,0,0,0,1,0,0,1
22,3,0,0,0,1,0,0.45,0,1,1,0,1,0,0,1
23,4,0,1,1,3,0,0.1,0,0,0,0,1,0,1,0
34,13,0,0,1,1,0,0.45,1,0,1,0,0,1,0,0
33,2,0,0,1,5,0,0.25,0,1,0,1,1,0,0,1
17,9,1,0,1,5,0,0.6,0,1,1,0,0,1,0,0
40,8,1,0,0,6,1,0.7,0,1,1,0,0,1,0,0
23,18,1,1,1,5,0,0.6,0,1,0,1,0,0,0,1
23,8,1,0,0,1,0,0.45,0,0,0,0,0,0,1,0
20,11,0,0,0,6,0,0.45,0,1,1,0,1,0,0,1
30,21,0,0,1,1,0,0.65,1,0,1,0,0,1,0,1
21,18,1,0,1,4,0,1.0,1,0,1,0,0,0,0,1
36,2,0,1,1,5,0,0.45,1,0,1,0,1,0,0,1
30,1,0,0,1,6,0,0.65,1,0,1,0,1,0,0,0
25,0,0,1,0,3,0,0.45,1,0,1,0,0,1,0,1
26,3,0,0,0,1,0,0.45,0,1,1,0,0,1,0,1
36,23,0,0,0,2,0,0.1,0,0,0,0,0,1,0,1
29,1,0,1,1,5,0,0.3,0,0,0,0,0,0,0,0
32,14,0,0,0,4,0,0.65,0,1,1,0,0,0,0,0
39,13,0,0,0,6,0,0.3,0,0,0,0,0,0,0,1
29,5,0,0,1,4,0,0.45,0,1,0,1,0,0,0,0
28,8,1,0,1,3,0,0.6,0,1,0,1,0,0,1,0
17,17,1,0,0,6,0,0.8,1,0,1,0,0,0,0,1
36,17,1,1,1,3,0,0.45,0,0,0,0,0,0,1,0
24,7,0,0,0,6,0,0.1,0,0,0,0,1,0,1,0
18,7,0,0,1,6,0,0.45,1,0,1,0,1,0,0,1
23,3,0,0,0,1,0,0.25,0,1,0,1,0,1,0,0
27,17,1,0,1,1,0,0.6,1,0,1,0,0,1,1,0
35,4,0,0,0,6,0,0.1,0,0,0,0,1,0,0,0
24,14,0,0,1,6,0,0.65,1,0,1,0,0,0,1,0
32,18,1,1,1,5,0,0.45,0,0,0,0,1,0,0,0
20,6,0,0,0,5,0,0.25,0,1,0,1,1,0,1,0
30,1,0,1,1,4,0,0.45,0,1,0,1,0,0,1,0
40,22,0,0,1,5,0,0.45,0,1,0,1,0,0,0,0
29,9,1,0,0,4,0,0.8,0,1,0,1,0,0,0,1
20,22,0,0,1,4,0,0.25,0,1,0,1,0,1,0,1
20,13,0,0,1,2,0,0.1,0,0,0,0,1,0,0,0
26,0,0,0,1,3,0,0.25,0,1,0,1,1,0,1,0
21,9,1,0,1,2,0,0.6,0,1,0,1,0,0,0,1
31,11,0,0,1,6,0,0.45,0,1,1,0,1,0,0,1
16,15,0,0,1,2,0,0.25,0,1,0,1,0,1,1,0
22,14,0,0,0,4,0,0.65,0,1,1,0,0,0,0,0
31,13,0,0,1,3,0,0.45,1,0,1,0,0,1,1,0
32,9,1,0,1,2,0,0.45,0,0,0,0,0,0,0,0
17,7,0,0,1,3,0,0.45,1,0,1,0,0,1,1,0
15,2,0,1,0,4,0,0.45,1,0,1,0,1,0,0,1
29,21,0,0,1,1,0,0.45,0,1,1,0,0,1,1,0
25,3,0,0,1,5,0,0.45,0,1,1,0,1,0,0,0
32,6,0,0,1,5,0,0.45,1,0,1,0,0,1,0,1
40,0,0,0,0,3,0,0.1,0,0,0,0,1,0,0,1
21,6,0,1,0,6,0,0.45,1,0,1,0,0,1,0,1
31,2,0,0,0,1,0,0.1,0,0,0,0,1,0,0,1
25,23,0,0,0,2,0,0.85,0,1,1,0,0,0,1,0
19,14,0,0,1,5,0,0.1,0,0,0,0,1,0,0,1
39,9,1,0,1,1,0,0.4,0,1,0,1,0,1,1,0
27,14,0,1,1,6,0,0.45,0,1,0,1,0,0,0,1
26,0,0,0,0,3,0,0.45,1,0,1,0,1,0,1,0
24,23,0,1,1,2,0,0.45,1,0,1,0,0,1,1,0
18,7,0,0,1,4,0,0.45,0,1,0,1,0,0,1,0
21,10,1,0,1,1,0,0.45,0,0,0,0,0,0,0,0
17,5,0,1,1,2,0,0.65,1,0,1,0,0,0,1,0
36,21,0,0,0,4,0,0.3,0,0,0,0,0,0,1,0
34,6,0,0,1,6,0,0.45,1,0,1,0,1,0,0,0
38,19,1,0,1,2,0,0.6,1,0,1,0,1,0,0,0
19,14,0,1,0,4,0,0.65,1,0,1,0,0,0,0,1
21,11,0,0,1,2,0,0.5,0,0,0,0,0,0,0,0
19,6,0,0,1,1,0,0.65,0,1,1,0,1,0,1,0
29,13,0,1,1,1,0,0.45,1,0,1,0,0,1,0,0
23,19,1,0,1,1,0,0.45,0,0,0,0,0,0,0,1
39,6,0,0,1,4,0,0.45,0,1,1,0,1,0,0,1
39,5,0,0,1,4,0,0.65,1,0,1,0,0,0,0,1
27,15,0,0,1,2,0,0.85,1,0,1,0,0,0,0,1
19,21,0,0,1,6,0,0.65,1,0,1,0,0,0,0,1
36,14,0,0,0,6,0,0.25,0,1,0,1,0,1,0,0
